ID,Info,en,fi,sv,ma
links.message,,Expand rows to view Link - Article associations,Suurenna rivejä tarkastellaksesi linkki-artikkeli yhteyksiä,,
links.searchAll,,Search all links,,,
link.article.add.title,,Add link to an Article,Lisää linkki artikkeliin,,
link.article.select,,Select Article,Valitse artikkeli,,
link.type,,Type,Tyyppi,,
link.url,,URL / value,URL / arvo,,
link.locale.all,,All locales,Kaikki sijainnit,,
link.content,,Link URL / path,Linkki URL / reitti,,
link.composer.title,,Create a new link,Luo uusi linkki,,
link.composer.descriptionlabel,,Description,Kuvaus,,
link.composer.descriptionhelper,,Text that the user will see,"Teksti, jonka käyttäjä näkee",,
link.composer.valuehelper,,URL / path of link (http://www.example.com),URL / linkin reitti (http://www.example.com),,
link.edit.title,,Edit link,Muokkaa linkkiä,,
link.delete.title,,Delete link,Poista linkki pysyvästi?,,
link.delete,,"Deleting this link will permanently remove it from the application, and all associations with Articles/Pages will be lost.",Linkin poistaminen poistaa sen lopullisesti koko sovelluksesta ja sen kaikki yhteydet artikkeleihin/sivuihin menetetään.,,
link.removepage.title,,Remove this link?,Irrota tämä linkki?,,
link.removepage,,"Removing the link only removes its association with this article. To delete this item permanently, click the Delete icon.","Linkin irrottaminen poistaa vain sen yhteyden tähän artikkeliin. Poistaaksesi kohteen pysyvästi, valitse \Poista\"".""",,
link.options,,Link options,Linkkivalinnat,,
link.options.add,,Add links to article,Lisää artikkeliin linkkejä,,
resource.edit.links,,Edit links,Lisää ja poista artikkelilinkkejä,,
links.change,,Change existing links,,,
link.create,,Create new link,Luo linkki,,
link.devmode.helper,,"If Development mode is active, this link will only appear in the development environment for testing. It will not be included in production releases.",,,
link.devmode,,Development mode,,,
locale.create,,Create locale,Luo sijainti,,
locale.disable.title,,Disable this locale?,Poista sijainti käytöstä?,,
locale.enable.title,,Enable this locale?,Salli sijainnin käyttö?,,
locale.disable,,Any Pages using this locale will be hidden on the UI. Pages can still be edited.,Kaikki tätä sijaintia käyttävät sivut ovat käyttöliittymässä piilossa. Sivuja voidaan edelleen muokata.,,
locale.enable,,All Pages using this locale will be displayed on the UI.,Kaikki tätä sijaintia käyttävät sivut ovat esillä käyttöliittymässä.,,
locale.composer.title,,Create a new locale,Luo uusi sijainti,,
locale.composer.placeholder,,Two-letter language code,,,
locale.composer.helper,,"Two-letter language codes designate the content language. Common examples: en = English, fi = Finnish, sv = Swedish",Kaksikirjaiminen sijaintitunniste,,
locale.overview,,Locale usage overview,Sijainnin käytön yhteenveto,,
locales.overview.description,,Manage the languages of your site content. Disable locales to hide all content associated with that language from your site,,
locales.content,,Page in this locale has content,Tässä sijainnissa olevalla sivulla on sisältöä,,
locales.nocontent,,Page in this locale has no content,Tässä sijainnissa olevalla sivulla ei ole sisältöä,,
locales.nopage,,There is no page for this locale in this Article,Tällä sijainnilla ei ole sivua tässä artikkelissa,,
locales.label.table.locale,,Language code,,,
newpage.title,,Create a new page,Luo uusi sivu,,
newpage.info,,A page consists of localised content and must be associated with an Article.,Sivu koostuu paikannetusta sisällöstä ja sen tulee olla yhdistetty artikkeliin.,,
newpage.article.info,,Confirm creation of page for: {article} with locale: {locale},Vahvista sivun luominen artikkelille: {article} sijainnilla: {locale},,
page.create,,Create page,Luo sivu,,
page.delete.dialog.title,,Delete a page from article: ,,
page.delete.description,,The selected page and all of its content will be permanently removed from your site,,
pages.save,,Save pages,Tallenna sivut,,
pages.add,,Add a page,Lisää sivu,,
pages.change,,Change a page locale,Muuta sivun sijaintia,,
pages.change.info,,Select a page from this Article and enter a new value for its locale.,Valitse sivu tästä artikkelista ja anna uusi arvo sen sijainnille.,,
pages.change.devmode,,Change a page\'s development mode,,,
pages.change.devmode.info,,Select a page from this Article and change its development mode.,,,
pages.devmode.helper,,"If Development mode is active, this page will only appear in the development environment for testing. It will not be included in production releases.",,,
pages.devmode,,Development mode,,,
pages.delete,,Delete a page,Poista sivu,,
pages.delete.message,,Select a page to delete from this Article.,Valitse artikkelista poistettava sivu.,,
pages.options,,Page options,Sivuvalinnat,,
pages.edit.selectpage,,Select page,Select page,,
pages.edit.selectTargetLocale,,Select target locale,Select target locale,,
release.create,,Create release,Luo julkaisu,,
release.composer.title,,Create a new release,Luo uusi julkaisu,,
release.composer.label,,Tag Name,Merkinnän nimi,,
release.composer.note,,Note,Note,,
release.composer.helper,,Optional additional information for future reference,Valinnainen lisätieto tulevaa käyttöä varten,,
release.desc,,"View all releases and download all site content in JSON format. For more detailed information on specific releases and their content, view the Graph.",,,
release.delete.title,,Delete release,,,
release.delete.desc,,Delete this release permanently from site data?,,,
releases.view.note,,Notes,,,
releases.view.tag,,Name,,,
releases.view.created,,Created,,,
releases.view.download,,JSON download,,,
buttons.create,,Create,,,
buttons.apply,,Apply,,,
buttons.delete,,Delete,,,
buttons.copy,,Copy,,,
buttons.download,,Download,,,
content.loading,,loading,,,
explorer.tabs.flows,,flows,,,
explorer.tabs.decisions,,decisions,,,
explorer.active.branch,,Active branch: {name},,,
explorer.active.branch.default,,default,,,
activities.flows.title,,Flows,,,
activities.flows.desc,,A a sequence of tasks which are defined by using simple configuration language.,,,
activities.decisions.title,,Decisions,,,
activities.decisions.desc,,A decision table that can be used to make decisions based on input data.,,,
activities.services.title,,Services,,,
activities.services.desc,,A piece of Java or Groovy code that is embedded inside of a flow as a task.,,,
activities.releases.title,,Releases,,,
activities.releases.desc,,A Release is a snapshot of all site content at one certain point of time.,,,
activities.releases.desc.additional,,"Each Release can be downloaded to be used for production or backup purposes, or can be branched for further editing. This will replace all current assets so make sure any changes are saved.",,,
activities.releases.view,,View all releases,,,
activities.releases.graph,,Graph,,,
activities.compare.title,,Compare,,,
activities.compare.desc,,Compare two releases to see what has changed between them.,,,
activities.compare.view,,Compare,,,
activities.templates.view,,View all templates,,,
activities.debug.title,,Debug,,,
activities.debug.desc,,"Simulate execution of an asset. Can be done via form input, JSON input, or by using a CSV file.",,,
activities.debug.view,,Simulate,,,
activities.assets.saveSuccess,,Saved asset: {name},,,
programs.error.title,,Program error,,,
programs.warning.title,,Program warning,,,
flows,,Flows,,,
migrations.title,,Migration,,,
migrations.create,,Perform migration,,,
migrations.select,,Select tag.json file,,,
flows.edit.title,,Edit flow,,,
flows.copyas.title,,Copy flow as,,,
flows.delete.title,,Delete flow,,,
flows.delete.error.title,,Failed to delete flow,,,
flows.delete.content,,Are you sure you want to delete FLOW: {name}?,,,
flows.deleted.message,,Deleted FLOW: {name},,,
flows.simulate.title,,Debug the flow,,,
flows.composer.title,,Create new FLOW,,,
flows.composer.copyTitle,,Copy FLOW as,,,
flows.composer.createdMessage,,Created FLOW: {name},,,
flows.composer.copiedMessage,,Copied FLOW {name} as: {newName},,,
flows.composer.errorsTitle,,Failed to create FLOW,,,
flows.composer.assetName,,Unique name for the FLOW,,,
flows.autocomplete.task.create,,Create new asset,,,
flows.autocomplete.task.link,,Link selected asset,,,
flows.autocomplete.task.searchField,,Search for asset...,,,
flows.autocomplete.task.searchPlaceholder,,Asset name or description,,,
flows.autocomplete.task.selectType,,Select asset type to link,,,
flows.autocomplete.task.searchHelper,,Matches asset name and description,,,
flows.autocomplete.task.searchResults,,Search results,,,
flows.autocomplete.task,,Add existing asset or create new one,,,
flows.autocomplete.task.snackbar.created,,Created new {type}: {name},,,
flows.autocomplete.task.snackbar.creating,,Creating new {type}: {name},,,
flows.graph.show,,Show flow graph,,,
flows.graph.hide,,Hide flow graph,,,
services.searchAll,,Search all services,,,
services.edit.title,,Edit service,,,
services.copyas.title,,Copy service as,,,
services.delete.title,,Delete service,,,
services.delete.error.title,,Failed to delete SERVICE,,,
services.delete.content,,Are you sure you want to delete SERVICE: {name}?,,,
services.deleted.message,,Deleted SERVICE: {name},,,
services.simulate.title,,Debug the service,,,
services.composer.title,,Create new SERVICE,,,
services.composer.copyTitle,,Copy SERVICE as,,,
services.composer.createdMessage,,Created SERVICE: {name},,,
services.composer.copiedMessage,,Copied SERVICE {name} as: {newName},,,
services.composer.errorsTitle,,Failed to create SERVICE,,,
services.composer.assetName,,Unique name for the SERVICE,,,
decisions.name,,Name,,,
decisions.desc,,Description,,,
decisions.simulate.title,,Debug the decision,,,
decisions.hitpolicy,,Hit-policy,,,
decisions.edit.title,,Edit decision,,,
decisions.copyas.title,,Copy decision as,,,
decisions.delete.error.title,,Failed to delete DECISION,,,
decisions.delete.title,,Delete decision,,,
decisions.delete.content,,Are you sure you want to delete DECISION: {name}?,,,
decisions.deleted.message,,Deleted DECISION: {name},,,
decisions.table.hitpolicy,,Matches,,,
decisions.table.options,,Options,,,
decisions.composer.title,,Create new DECISION,,,
decisions.composer.copyTitle,,Copy DECISION as,,,
decisions.composer.createdMessage,,Created DECISION: {name},,,
decisions.composer.copiedMessage,,Copied DECISION {name} as: {newName},,,
decisions.composer.errorsTitle,,Failed to create DECISION,,,
decisions.composer.assetName,,Unique name for the DECISION,,,
decisions.toolbar.addInputColumn,,Add input column,,,
decisions.toolbar.addOutputColumn,,Add output column,,,
decisions.toolbar.addRow,,Add row,,,
decisions.toolbar.csvDownload,,"Download CSV, with separator \';\'",,,
decisions.toolbar.csvUpload,,"Upload CSV, with separator \';\'",,,
decisions.toolbar.nameAndHitpolicy,,Name and hit-policy,,,
decisions.toolbar.organize.rows.columns,,Organize rows and columns,,,
decisions.toolbar.organize.action,,Select action,,,
decisions.toolbar.organize.action.helper,,Move column or row based on name/index,,,
decisions.toolbar.organize.action.expression,,Select expression,,,
decisions.toolbar.organize.action.expression.column,,Select column,,,
decisions.toolbar.organize.action.deleteColumn,,Delete whole column,,,
decisions.toolbar.organize.action.deleteRow,,Delete whole row,,,
decisions.toolbar.organize.action.deleteRow.contents,,Row contents,,,
decisions.toolbar.organize.action.move.from.column,,Column to move,,,
decisions.toolbar.organize.action.move.from.row,,Row to move,,,
decisions.toolbar.organize.action.move.to.column,,New Position,,,
decisions.toolbar.organize.action.move.to.row,,New Position,,,
decisions.table.inputs.title,,Matching rules,,,
decisions.table.outputs.title,,Results,,,
decisions.header.dialog.title,,"Decision table: {name}, column: {column}",,,
decisions.cells.dialog.title,,"Decision table: {name}, column: {column}, value: {value}",,,
decisions.cells.newvalue.boolean,,Enter new value,,,
decisions.cells.newvalue.boolean.helper,,Select boolean value,,,
decisions.cells.newvalue.boolean.empty,,No value selected,,,
decisions.cells.newvalue.date.operator,,Operator,,,
decisions.cells.newvalue.date.start,,Start date,,,
decisions.cells.newvalue.date.end,,End date,,,
decisions.cells.newvalue.date.value,,Date,,,
decisions.cells.newvalue.number.comparisonType,,Comparison,,,
decisions.cells.newvalue.number.comparisonTypeEmpty,,Comparison not selected,,,
decisions.cells.newvalue.number.comparisonValue,,New numerical value,,,
decisions.cells.newvalue.number.comparisonToRange,,Change to range,,,
decisions.cells.newvalue.number.rangeStart,,Start,,,
decisions.cells.newvalue.number.rangeEnd,,End,,,
decisions.cells.newvalue.number.value,,New numerical value,,,
decisions.cells.newvalue.number.rangeIncluded,,Included,,,
decisions.cells.newvalue.number.rangeToComparison,,Change to comparison,,,
decisions.cells.newvalue.string.comparisonType,,Comparison,,,
decisions.cells.newvalue.string.addValue,,Add new value,,,
decisions.cells.newvalue.string.available,,Available values,,,
decisions.cells.newvalue.string.selected,,Selected values,,,
decisions.cells.newvalue.string.empty,,Comparison not selected,,,
decisions.cells.newvalue.clear,,Clear current value,,,
decisions.valueSet,,Define value set,,,
decisions.valueSet.description,,Value sets can be used to define a predetermined set of values for any input,,,
decisions.valueSet.add,,Add to value set,,,
decisions.valueSet.remove,,Remove from value set,,,
decisions.valueSet.current,,Current value set,,,
decisions.valueSet.empty,,Value set is empty,,,
dt.header.name,,Name,,,
dt.header.delete,,Delete,,,
dt.header.expression,,Expression,,,
dt.header.dataType,,Data type,,,
dt.header.script,,Script,,,
decisions,,Decisions,,,
program.status.DEPENDENCY_ERROR,,Dependency Errors,,,
program.status.UP,,Program is UP,,,
program.status.AST_ERROR,,Syntax errors,,,
program.status.PROGRAM_ERROR,,Compiler errors,,,
package.explorer.flows,,flows,,,
package.explorer.servicetasks,,services,,,
package.explorer.decisiontables,,decisions,,,
dialog.addtype.title,,Add new asset,,,
dialog.addtype.button.cancel,,Cancel,,,
dialog.addtype.button.confirm,,Create,,,
dialog.addtype.error.unique,,Asset name must be unique!,,,
dialog.addtype.error.filled,,Asset name must be filled!,,,
dialog.addtype.input.serviceType,,Asset type,,,
dialog.addtype.input.name,,Asset name,,,
dialog.copyas.title,,Copy asset,,,
dialog.copyas.button.cancel,,Cancel,,,
dialog.copyas.button.confirm,,Copy,,,
dialog.copyas.input.from,,Copy from,,,
dialog.copyas.input.to,,New asset name,,,
dialog.copyas.error.unique,,Asset name must be unique!,,,
dialog.copyas.error.filled,,Asset name must be filled!,,,
dialog.save.title,,Save asset: {name},,,
dialog.save.content,,Are you sure you want to save?,,,
dialog.save.errors,,Failed to save asset,,,
dialog.save.button.cancel,,Cancel,,,
dialog.save.button.confirm,,Save,,,
release.delete.content,,Are you sure you want to delete release: {name},,,
release.delete.error.title,,Error deleting release,,,
release.deleted.message,,Release {name} deleted,,,
releases.composer.createdMessage,,Created new release {name},,,
releases.view.action,,Action,,,
releases.composer.title,,Create new release,,,
releases.composer.assetName,,Release name,,,
releases.composer.assetDesc,,Release description,,,
releases.composer.errorsTitle,,Error while creating release,,,
releases.table.title,,Releases and Branches,,,
releases.table.column.name,,Name,,,
releases.table.column.message,,Message,,,
releases.table.column.created,,Created,,,
releases.table.name,,All releases,,,
releases.add.error.unique,,Release must be unique!,,,
releases.add.error.filled,,Release name must be filled!,,,
releases.add.input.name,,Name,,,
releases.add.input.msg,,Comment,,,
releases.add.button.create,,Create Release,,,
releases.button.compare,,Compare,,,
releases.button.branch,,Create new branch,,,
releases.button.checkout,,Checkout,,,
releases.button.release,,Release,,,
releases.button.details,,View release assets,,,
releases.default.name,,default,,,
releases.default.note,,This is the default branch that you can go back to,,,
releases.latest.name,,latest,,,
releases.latest.note,,These are current assets with the latest changes that can be released,,,
releases.details.title,,Release assets: {name},,,
branch.delete.title,,Delete branch,,,
branch.delete.content,,Are you sure you want to delete branch: {name},,,
branch.delete.error.title,,Error deleting branch,,,
release.branch.creating,,Creating new branch: {name},,,
release.branch.created,,Created new branch: {name},,,
release.branch.deleting,,Deleting branch: {name},,,
release.branch.deleted,,Deleted branch: {name},,,
release.branch.checkout,,Checked out to branch: {name},,,
debug.toolbar.options,,Options,,,
debug.toolbar.selectAsset,,Select asset to debug,,,
debug.toolbar.inputCsv,,Define input data as a CSV,,,
debug.toolbar.inputForm,,Define input data as a FORM,,,
debug.toolbar.inputJson,,Define input data as a JSON,,,
debug.toolbar.execute,,Execute,,,
debug.toolbar.noAsset,,Select asset from options,,,
debug.toolbar.openAsset,,Open,,,
debug.toolbar.download,,Download results as CSV,,,
debug.input.noAsset,,There is no ASSET selected,,,
debug.input.form,,Debug using FORM,,,
debug.input.formTitle,,Define inputs,,,
debug.input.form.invalid.integer,,Value must be an integer,,,
debug.input.form.invalid.number,,Value must be a number,,,
debug.input.form.invalid.range,,Value must be in the specified range,,,
debug.input.json,,Debug using JSON,,,
debug.input.jsonTitle,,Define JSON input,,,
debug.input.csvUpload,,Debug using CSV,,,
debug.input.csvFile,,Upload CSV FILE,,,
debug.input.csvFileTitle,,Upload CSV file - semicolon-delimited (;),,,
debug.input.csvFileOrText,,Or paste CSV contents - semicolon-delimited (;),,,
debug.inputs.fieldName,,Field Name,,,
debug.inputs.fieldValue,,Field Value,,,
debug.select.title,,Select asset to debug,,,
debug.select.assetType,,Asset type to filter,,,
debug.select.searchField,,Asset name to search,,,
debug.select.searchHelper,,Search matches asset name or description,,,
debug.select.searchPlaceholder,,Keyword to search,,,
debug.select.searchResults,,Found assets,,,
debug.select.confirm,,Select,,,
debug.inputs.format,,Asset input format: {type},,,
debug.asset.select.label,,Asset to debug,,,
debug.asset.select.clear,,Clear run data,,,
debug.asset.select.execute,,Execute asset,,,
debug.asset.execute.inputs,,Debug inputs,,,
debug.asset.execute.errors,,Execution errors,,,
debug.asset.execute.outputs.dt.json,,Matched row(s),,,
debug.asset.execute.outputs.dt.rejects,,Rejected row(s),,,
debug.asset.execute.outputs.dt.rejects.order,,Execution order,,,
debug.asset.execute.outputs.flow.step,,"Step name: {name}, status: {status}",,,
debug.csv.row,,Data row: {row},,,
debug.csv.download,,Download results as CSV,,,
debug.csv.download.delimiter,,Choose a delimiter for the CSV file,,,
debug.csv.download.delimiter.semicolon,,Semicolon (;),,,
debug.csv.download.delimiter.comma,,"Comma (,)",,,
debug.csv.download.options,,Export options,,,
debug.csv.download.wrap,,Wrap cells containing delimiters with quotes,,,
compare.tip,,"Select releases to compare below. Base is the starting point of the comparison, and target is the release that will be compared to the base.",,,
compare.base,,Select base release,,,
compare.target,,Select target release,,,
compare.dialog.title,,Comparing releases {base} and {target},,,
compare.dialog.line,,Inline,,,
compare.dialog.side,,Side-by-side,,,
menu.feedbackAllTasks,,All feedback,All feedback,All feedback,
feedback.all,,All feedback,All feedback,All feedback,
feedback.none,,No feedback available,No feedback available,No feedback available,
feedback.search,,Search,Search,Search,
feedback.search.placeholder,,"Feedback, process, or task id","Feedback, process, or task id","Feedback, process, or task id",
feedback.search.filter.category,,Filter by category,Filter by category,Filter by category,
feedback.search.filter.subCategory,,Filter by sub-category,Filter by sub-category,Filter by sub-category,
feedback.filter.selectNone,,None,None,None,
queues.all,,Queues,,,
consumers.all,,Consumers,,,
queue.config.appId,,App id,,,
queue.config.none,,Loading,,,
queue.config.consumerName,,Consumer name,,,
queue.config.routingKey,,Routing key,,,
queue.config.consumerStatus,,Status,,,
queue.config.comment,,Comment,,,
queue.config.consumerId,,Id,,,
queue.config.qualifiedJavaName,,Tech name,,,
queue.config.queueName,,Queue name,,,
queue.config.createdAt,,Created at,,,
queue.config.createdBy,,Created by,,,
queue.all_deliveries.title,,All deliveries,,,
queue.all_deliveries.created,,Created,,,
queue.all_deliveries.consumerComment,,Comment,,,
queue.all_deliveries.status,,Status,,,
queue.all_deliveries.messageId,,Message id,,,
queue.all_deliveries.consumerId,,Consumer id,,,
queue.all_messages.title,,All messages,,,
queue.all_messages.routingKey,,Routing key,,,
queue.all_messages.messageId,,Message id,,,
queue.all_messages.bodyId,,Body id,,,
queue.all_messages.bodyType,,Body type,,,
queue.all_messages.status,,Status,,,
queue.all_messages.body,,Body,,,
queue.all_messages.created,,Created,,,
menu.messages,,Messages,,,
menu.deliveries,,Deliveries,,,
toolbar.preview,,,Live-esikatselu,,
workflow.edit.title,,,Muokkaa työnkulkua,,
workflow.create,,,Luo työnkulku,,
button.view.all.articles,,,Näytä kaikki artikkelit,,
button.view.all.pages,,,Näytä kaikki sivut,,
button.view.all.links,,,Näytä kaikki linkit,,
button.view.all.workflows,,,Näytä kaikki työnkulut,,
workflows,,,Työnkulku,,
associations.add,,,Yhdistä artikkeliin,,
explorer.pages,,,Sivut,,
explorer.pages.create,,,Luo sivu,,
explorer.pages.dualview,,,Kaksoisnäkymä,,
explorer.locale.empty,,,Ei sijainteja,,
articles.message,,,Suurenna rivejä tarkastellaksesi artikkeleihin yhdistettyjä sivuja ja muokkaa näitä yhteyksiä,,
articles.searchAll,,Search all articles,,
article.deletepage.title,,,Poista tämä sivu?,,
article.deletepage,,,Sivun poistaminen poistaa sen lopullisesti koko sovelluksesta.,,
article.options,,,Artikkelivalinnat,,
article.addlink,,,Lisää tämä linkki artikkeliin,,
article.links.addremove,,,Lisää ja poista artikkelilinkkejä,,
article.links,,,Artikkelilinkit,,
article.links.sitelinks,,,Sivustolinkit,,
article.links.remove,,,Irrota/poista linkkiyhteys tähän artikkeliin,,
article.workflows.addremove,,,Lisää ja poista artikkelien työnkulkuja,,
article.workflows,,,Artikkelien työnkulut,,
article.workflows.add,,,Yhdistä tämä työnkulku tähän artikkeliin,,
article.workflows.remove,,,Poista tämän työnkulun yhteys tähän artikkeliin,,
article.workflows.siteworkflows,,,Site workflows,,
button.view,,,Katsele,,
button.addremove,,,Lisää/Irrota,,
composer.article.title,,,Artikkeli,,
composer.article.desc,,,"Ryhmä yhdistettyjä sivuja, linkkejä, työnkulkuja ja sijainteja",,
composer.locale.title,,,Sijainti,,
composer.locale.desc,,,"Lisää, aktivoi ja deaktivoi sisällön kieliä globaalisti",,
composer.page.title,,,Sivu,,
composer.page.desc,,,"Tiedosto, joka edustaa yhtä kieltä ja siihen yhdistettyjä linkkejä ja työnkulkuja artikkelin sisällä",,
composer.link.title,,,Linkki,,
composer.link.desc,,,Sisäiset linkit yhdistävät sisältöön domainin sisällä ja ulkoiset linkit yhdistävät sisältöön domainin ulkopuolella,,
composer.workflow.title,,,Työnkulku,,
composer.workflow.desc,,,Yhdistä lomakkeet ja prosessit,,
composer.release.title,,,Julkaise,,
composer.release.desc,,,Luo kuva sivun kaikesta sisällöstä tietyssä tilassa testaamis- ja tuotantotarkoituksiin,,
toolbar.dashboard,,,Hallintatyökalu,,
dashboard.view.helper,,,"Katsele, muokkaa ja poista sisältöjä",,
link.associate.title,,,Yhdistä linkki artikkeliin,,
link.options.edit,,,Muokkaa artikkelin linkkejä,,
link.options.remove,,,Irrota linkit artikkelista,,
resource.options,,,Resurssivalinnat,,
resource.edit.workflows,,,Lisää ja poista artikkelityönkulkuja,,
workflow.associate.title,,,Yhdistä työnkulku artikkeliin,,
workflow.composer.title,,,Lisää työnkulku,,
workflow.composer.name,,,Paikannettu nimi,,
workflow.technicalname,,,Tekninen nimi,,
workflow.composer.select,,,Valitse olemassaoleva työnkulku,,
workflow.composer.helper,,,Käyttäjille näytettävä nimi,,
workflow.composer.placeholder,,,Lupahakemus,,
workflow.delete.title,,,Poista tämä työnkulku pyvyvästi?,,
workflow.delete,,,Työnkulun poistaminen poistaa sen koko sovelluksesta.,,
workflow.removepage.title,,,Irrota tämä työnkulku?,,
workflow.removepage,,,"Työnkulun irrottaminen poistaa vain sen yhteyden tähän artikkeliin. Poistaaksesi kohteen kokonaan/pysyvästi, valitse \Poista\"".""",,
workflow.options,,,Työnkulun valinnat,,
workflow.add,,,Lisää työnkulku,,
workflow.edit,,,Muokkaa työnkulkua,,
workflow.remove,,,Irrota työnkulku,,
toolbar.articles,,,Artikkeliyhteenveto,,
toolbar.newarticle,,,Luo uusi artikkeli,,
toolbar.newlocale,,,Lisää uusi sijainti,,
toolbar.explorer,,,Explorer,,
toolbar.links,,,Linkkiyhteenveto,,
toolbar.workflows,,,Työnkulkuyhteenveto,,
toolbar.releases,,,Julkaisut,,
toolbar.locales,,,Sijainnit,,
