ID,Info,en,fi,sv,ma
profile.title,,User Profile,Käyttäjän profiili,Användarprofil,
profile.user.name,,Name:,Nimi:,Namn:,
profile.user.email,,e-mail:,Sähköposti:,e-post:,
profile.user.role,,Role:,Rooli:,Roll:,
profile.user.phone,,Phone:,Puhelin:,Telefon:,
profile.app.version,,Application version:,Sovellusversio:,Applikationsversion:,
button.cancel,,Cancel,Cancel,Cancel,
button.delete,,Delete this feedback,Delete this feedback,,
button.delete.template,,Delete this template,,
button.delete.link,,Delete this link,,
button.delete.article,,Delete this article,,
button.delete.page,,Delete this page,
button.unpublish,,Unpublish this feedback,,,
button.update,,Update,Update,,
button.publish,,Publish,Publish,Publish,
button.accept,,Accept,Hyväksy,Acceptera,
button.edit,,Edit,Avaa,Öppna,
button.close,,Close,Sulje,Stäng,
button.reject,,Reject,Hylkää,Avslå,
button.send,,Send,Lähetä,Skicka,
button.dismiss,,Dismiss,Sulje,Stäng,
button.editRoles,,Edit,Muokkaa,Redigera,
button.select,,Select,Valita,Select,
error.minTextLength,,Value should be at least {minLength} characters long,Annetun arvon pitää olla vähintään {minLength} merkkiä,Texten måste vara minst {minLength} tecken lång.,
error.maxTextLength,,Value should be no more than {max} characters long,Annetun arvon tulee olla enintään {max} merkkiä pitkä,Texten måste vara max {max} tecken lång.,
error.valueRequired,,Value required,Vaaditaan,Nödvändig,
error.title,,Error!,Virhe!,Fel!,
error.dialob.session,,"Questionnaire cannot be opened at this moment, please try again later",Lomaketta ei voida aukaista juuri nyt. Yritä uudelleen myöhemmin,Blanketten kan inte öppnas just nu. Vänligen försök på nytt senare,
error.errorLoadingData,,Error during data loading,Error during data loading,Fel då försöker ladda data,
error.unauthorized.title,,Missing access role,Käyttöoikeutesi ovat puutteelliset,Du saknar rättighet till tjänsten,
error.unauthorized.text,,Contact your system administrator to check your role,Ota yhteyttä IT-palveluihin lähettämällä tukipyyntö Tiketin kautta -> Jätä tukipyyntö -> Kirjautumisongelma.,Tag kontakt med IT genom att göra en Tiket: Rapportera IT problem -> Problem med inloggning.,
error.unauthorizedAccess,,Missing access role,Käyttöoikeutesi ovat puutteelliset,Du saknar rättighet till tjänsten,
error.dataAccess,,Error during data loading,Virhe toiminnassa,Fel vid drift,
error.statusOpenError,,Required when status is open,Required when status is open,Required when status is open,
error.workflowCreation,,"Error on workflow creation, check worflow name for duplicates","Virhe konfiguroinnissa, tarkista nimen yksilöllisyys","Error on workflow creation, check worflow name for duplicates",
table.body.addTooltip,,Add,Lisää,Lägg till,
table.body.editTooltip,,Edit,Avaa,Öppna,
table.body.editRow.deleteMessage,,Are you sure you want to delete this?,Halutko varmasti poistaa tämän?,Är du säker på att du vill radera detta?,
workflowTable.title,,Stencil services,Kokoonpano,Sammansättning,
workflowTableHeader.name,,Name,Nimi,Namn,
workflowTableHeader.formName,,Form,Lomake,Blankett,
workflowTableHeader.flowName,,Flow,Prosessi,Process,
workflowTableHeader.updated,,Updated,Päivitetty,Uppdaterad,
workflowTable.addButton,,New workflow,Lisää uusi,Lägg till ny,
workflowTable.editButton,,Edit workflow,Muokka,Editera,
workflow.dialogTitle,,Stencil service,Työnkulku,Nytt arbetsflöde,
workflow.name,,Name,Nimi,Namn,
workflow.form.formName,,Form name,Lomakkeen nimi,Blankettens namn,
workflow.form.formTag,,Form tag,Lomakkeen versio,Blankettens version,
workflow.flowName,,Flow name,Prosessi,Process,
processTable.title,,Stencil service execution history,Työt,Arbeten,
processTableHeader.workflow,,Stencil service name,Tyyppi,Typ,
processTableHeader.user,,User id,Käyttäjä,Användare,
processTableHeader.status,,Status,Tila,Status,
processTableHeader.created,,Created,Luotu,Skapad,
processTableHeader.questionnaireId,,Questionnaire,Lomake,Blankett,
process.status.ANSWERED,,Answered,Lähetetty,Skickad,
process.status.CREATED,,Created,Luotu,Skapad,
process.status.ANSWERING,,Answering,Keskeneräinen,På hälft,
process.status.IN_PROGRESS,,In progress,Käsittelyssä,Under arbete,
process.status.WAITING,,Waiting,Odottaa,Väntar,
process.status.COMPLETED,,Completed,Valmis,Färdig,
process.status.REJECTED,,Rejected,Hylätty,Avslagen,
comment.button,,Send comment,Anna palautetta,Ge respons,
comment.title,,Send comment,Anna palautetta,Ge respons,
comment.form.email,,E-mail,Sähköposti,E-post,
comment.form.feedbackType,,Type,Tyyppi,Typ,
comment.form.body,,Message,Viesti,Meddelande,
comment.type.general,,General,Anna palautetta,Ge respons,
comment.type.propose,,Propose,Ehdota uutta palvelua,Föreslå ny tjänst,
comment.type.contact,,Contact me,Ota yhteyttä,Tag kontakt,
